id,symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
aave,aave,Aave,309.74,4707209008,37,4958395992,950156398,316.87,293.39,14.89,5.04961,231742697,5.17807,15189457.287492836,16000000.0,16000000.0,661.69,-52.92222,2021-05-18T21:19:59.514Z,26.02,1097.04583,2020-11-05T09:20:11.928Z,2025-07-11T13:53:10.748Z
1inch,1inch,1inch,0.28827,403062495,200,433547512,234018338,0.298605,0.214698,0.072544,33.62806,102284813,34.00678,1394527072.927356,1499999999.997,1499999999.997,8.65,-96.67746,2021-10-27T08:24:54.808Z,0.149574,92.1822,2025-04-07T07:05:53.693Z,2025-07-11T13:53:10.409Z
0x,zrx,0x Protocol,0.255614,216243159,292,254884530,25333811,0.257667,0.23334,0.02071891,8.82049,16910038,8.48331,848396562.906836,1000000000.0,1000000000.0,2.5,-89.79133,2018-01-13T00:00:00.000Z,0.120667,111.2468,2020-03-13T02:27:49.563Z,2025-07-11T13:53:10.375Z
aave-usdc-sonic,asonusdc,Aave USDC (Sonic),1.006,129169676,399,129169676,518583,1.008,1.005,0.00034564,0.03437,-15562088.82389751,-10.75237,128407170.559318,128407170.559318,,1.019,-1.28374,2025-05-21T19:26:14.888Z,0.795129,26.51259,2025-06-22T13:17:34.579Z,2025-07-11T13:53:10.292Z
0x0-ai-ai-smart-contract,0x0,0x0.ai: AI Smart Contract,0.098012,86986773,534,86986773,1498464,0.098771,0.084016,0.01070826,12.26552,9481858,12.23388,891250000.0,891250000.0,1000000000.0,0.500356,-80.6199,2024-03-12T00:45:01.748Z,0.0002781,34768.67785,2023-02-01T14:29:44.928Z,2025-07-11T13:53:10.277Z
aavegotchi,ghst,Aavegotchi,0.458144,23418579,1122,24146701,9090293,0.460246,0.404851,0.04636169,11.25877,2368555,11.25203,51157239.2140685,52747802.71425598,52747802.71425598,3.63,-87.39375,2024-04-01T17:10:35.267Z,0.311585,46.91047,2025-06-22T20:24:58.598Z,2025-07-11T13:53:10.356Z
404-gen,sn17,404—GEN,10.53,13252286,1447,13252286,250201,10.65,9.44,0.957216,10.00127,1205324,10.00521,1258746.724422158,1258746.724422158,21000000.0,15.38,-31.54424,2025-06-10T05:25:08.303Z,8.13,29.43829,2025-06-22T20:21:49.109Z,2025-07-11T13:53:10.283Z
0xgasless-2,0xgas,0xGasless,1.16,12729105,1490,12729105,71311,1.27,1.083,-0.06970666856039309,-5.67352,-786243.417013539,-5.81741,11000000.0,11000000.0,11000000.0,1.39,-17.87202,2025-07-09T13:10:33.408Z,0.03713505,2971.67108,2024-09-18T16:06:08.792Z,2025-07-11T13:53:10.272Z
360noscope420blazeit,mlg,360noscope420blazeit,0.0109187,10891633,1575,10891633,787388,0.01098071,0.00889002,0.00198869,22.26973,1878178,20.8375,997521259.665384,997521259.665384,997790257.58,0.187194,-94.17694,2025-02-04T00:51:00.239Z,0.00117467,827.9617,2024-10-27T14:34:43.171Z,2025-07-11T13:53:10.276Z
1guy,1guy,1GUY,0.00703722,7037312,1876,7037312,65.53,0.00704686,0.00680881,0.00019601,2.86516,191042,2.79046,1000000000.0,1000000000.0,1000000000.0,0.01223159,-42.46813,2024-10-07T15:20:22.002Z,0.00537563,30.90681,2025-03-11T00:57:28.232Z,2025-07-11T13:53:10.265Z
42-coin,42,42-coin,92443,3882590,2360,3882594,60.56,93263,92128,198.0,0.21465,222743,6.08613,41.99995074,42.0,,805023,-88.52197,2020-12-24T15:28:21.542Z,1071.62,8522.52604,2021-04-27T03:54:41.837Z,2025-07-11T13:48:00.224Z
-6,"""　""","""　""",0.00608567,3831061,2374,3831061,90809,0.00607702,0.00443278,0.00143915,30.97256,905974,30.97256,629521110.0,629521110.999334,1000000000.0,0.276695,-97.79489,2024-12-07T19:50:35.826Z,0.00310237,96.66955,2025-06-21T23:51:19.355Z,2025-07-11T13:52:50.776Z
_,gib,༼ つ ◕_◕ ༽つ,0.00267031,2618403,2747,2618403,13842.73,0.00286386,0.00248818,0.0001498,5.94334,165706,6.75606,980000000.0,980000000.0,980000000.0,0.00384584,-30.52644,2025-05-22T19:59:46.915Z,0.00036907,623.9443,2025-04-07T06:59:47.999Z,2025-07-11T13:52:30.279Z
4chan,4chan,4Chan,2.6976e-14,2108400,2977,2108400,23046,2.7706e-14,2.3463e-14,3.14e-15,13.17367,269655,14.66514,7.709007008328327e+19,7.709007008328327e+19,1e+20,1.885e-12,-98.54953,2023-07-21T14:39:33.961Z,4.357e-15,527.56533,2023-05-18T16:50:43.525Z,2025-07-11T13:52:00.242Z
4everland,4ever,4EVERLAND,0.0012759,2105506,2978,12792948,249014,0.0012899,0.00126584,7.5e-06,0.59123,14891.18,0.71229,1645833333.31,10000000000.0,10000000000.0,0.00671057,-80.98662,2024-12-17T04:40:36.773Z,0.00099851,27.78139,2025-06-14T19:00:17.205Z,2025-07-11T13:52:11.417Z
1000x-by-virtuals,1000x,1000x by Virtuals,0.00186316,1889325,3090,1889325,10519.51,0.00192351,0.00151019,0.00033209,21.69022,358495,23.41835,992369486.5234118,992369486.5234118,1000000000.0,0.01398289,-86.38441,2025-01-15T15:46:21.367Z,0.00119641,59.13055,2025-04-11T16:34:56.950Z,2025-07-11T13:52:59.946Z
99-bitcoins,99btc,99 Bitcoins,2.383e-05,1571171,3294,1571171,3404.6,2.549e-05,1.849e-05,5.33e-06,28.80388,350354,28.69838,66000000000.0,66000000000.0,99000000000.0,0.00058402,-95.91994,2024-08-10T06:00:24.712Z,2.66e-06,797.37975,2025-04-10T06:51:11.498Z,2025-07-11T13:52:35.818Z
-5,🟥🟩,🟥🟪🟦🟩🟨🟧,0.00154081,1540217,3314,1540217,77497,0.00156507,0.00134921,0.00014621,10.48405,146154,10.48403,999614698.494569,999614698.494569,1000000000.0,0.02573354,-94.0049,2024-11-19T21:15:29.030Z,0.00053626,187.68839,2025-02-26T18:59:34.848Z,2025-07-11T13:52:52.202Z
401k,401k,401K,0.00133391,1321252,3488,1321252,294178,0.00196249,0.00094616,-0.000366702083705587,-21.56301,-373042.11393732135,-22.01756,981377522.8618662,981377522.8618662,993259271.85,0.00474828,-71.64608,2025-07-06T04:50:02.133Z,0.00030707,338.442,2025-07-02T03:09:41.013Z,2025-07-11T13:52:56.534Z
888-token,888,888,0.01299205,1147744,3648,1147744,21694,0.01326695,0.01161772,0.00123122,10.4688,106309,10.20789,88854176.84348784,88854176.84348784,88888888.0,0.24719,-94.74044,2024-11-30T21:35:36.163Z,0.00531972,144.39477,2024-11-07T03:05:03.399Z,2025-07-11T13:52:50.746Z
666-token,666,666,0.111007,1107204,3694,1107204,47089,0.111175,0.097832,0.01317446,13.46634,121767,12.35659,9998632.0,9998632.0,9998632.0,0.158861,-30.29416,2025-05-12T13:43:30.608Z,0.083702,32.29786,2025-06-20T22:24:40.473Z,2025-07-11T13:52:04.324Z
589-token,589,589,0.00020896,1097821,3707,1223031,34443,0.00020766,0.00015308,5.526e-05,35.95475,277687,33.85882,5287000000.0,5890000000.0,5890000000.0,0.00049429,-57.99146,2025-01-30T15:54:32.329Z,0.00010109,105.40134,2025-06-22T17:02:33.342Z,2025-07-11T13:51:55.827Z
aaa-cat,aaa,aaa cat,0.00010564,1053422,3745,1053422,10068.3,0.00010704,9.327e-05,1.22e-05,13.05296,118651,12.69307,10000000000.0,10000000000.0,10000000000.0,0.00367516,-97.12874,2024-11-13T16:25:33.951Z,4.709e-05,124.10958,2025-05-23T07:15:52.519Z,2025-07-11T13:52:30.960Z
5ire,5ire,5ire,0.00147954,950687,3872,2224443,867152,0.00151806,0.00141639,3.907e-05,2.71198,27660,2.99665,641073198.7697375,1500000000.0,1500000000.0,0.467009,-99.68267,2023-12-18T17:15:04.299Z,0.00089596,65.40165,2025-04-07T07:11:30.572Z,2025-07-11T13:52:46.465Z
0xsim-by-virtuals,sage,0xsim by Virtuals,0.00078353,783594,4110,783594,14.68,0.00079479,0.00069848,8.426e-05,12.04994,79537,11.29697,1000000000.0,1000000000.0,1000000000.0,0.00919017,-91.47357,2025-01-02T15:10:43.776Z,0.00042127,86.00774,2025-04-09T01:30:53.577Z,2025-07-11T13:53:02.011Z
0xmonk,monk,0xMonk by Virtuals,0.00078153,781525,4114,781525,619.04,0.00080215,0.00067894,9.939e-05,14.56965,99385,14.56965,1000000000.0,1000000000.0,1000000000.0,0.01200774,-93.49149,2025-01-16T20:15:55.780Z,0.0002053,280.67256,2025-04-07T06:56:38.835Z,2025-07-11T13:41:38.608Z
5g-cash,vgc,5G-CASH,0.053344,748703,4172,755213,34.94,,,,,,,14157318.87378388,14157326.37378388,100000000.0,0.419704,-87.29002,2021-04-17T04:16:29.296Z,9.28513e-10,5745136676.86243,2021-02-22T03:15:26.748Z,2025-06-26T20:31:22.382Z
-7,∅,∅,0.00077265,738179,4187,738179,21471,0.00089515,0.00076461,-4.1507148858433e-05,-5.09818,-43115.875415074755,-5.51852,959637148.38272,959637148.38272,1000000000.0,0.00151994,-49.39085,2025-07-07T12:50:00.253Z,5.64e-05,1263.95331,2025-06-05T20:59:20.829Z,2025-07-11T13:52:16.628Z
3space-art,pace,3SPACE ART,0.01110766,733190,4195,1110483,73314,0.01139739,0.00951024,0.00129436,13.18983,85278,13.16193,66024441.662959024,100000000.0,100000000.0,0.298335,-96.27817,2024-07-30T22:55:49.304Z,0.00550205,101.80669,2024-02-14T06:14:59.543Z,2025-07-11T13:52:00.709Z
3dpass,p3d,3DPass,0.00150376,638357,4372,1081793,9806.19,0.00150846,0.00137248,9.522e-05,6.76035,41471,6.94794,424542866.0,719452854.0,1000000000.0,0.04851979,-96.9005,2023-12-17T01:30:03.607Z,0.00116953,28.58756,2025-06-22T17:26:12.122Z,2025-07-11T13:51:37.412Z
1-squirrel,peanut,OG Peanut,0.00063739,637316,4386,637316,251847,0.00065414,0.00056112,7.145e-05,12.62592,71343,12.60534,999886370.794511,999886370.794511,999954482.37,0.02235476,-97.19106,2024-11-25T19:14:23.577Z,0.0001677,274.44209,2025-04-07T09:41:23.145Z,2025-07-11T13:52:51.706Z
21million,21m,21Million,0.03136389,543587,4580,569933,4231.13,0.03170088,0.03013243,0.00106517,3.51557,17876.9,3.40052,17331354.72476963,18171354.72476963,21000000.0,0.085285,-63.22538,2025-01-02T14:51:36.107Z,0.01591473,97.0716,2025-06-13T14:14:55.546Z,2025-07-11T13:51:54.641Z
aag-ventures,aag,AAG,0.00086173,543036,4582,861728,2.75,,,,,,,630171159.1992941,1000000000.0,1000000000.0,0.444983,-99.80635,2021-12-18T15:41:28.184Z,0.00020779,314.71276,2025-03-10T09:32:40.745Z,2025-07-09T19:42:06.838Z
0chain,zcn,Zus,0.00794143,383427,5023,3168752,4589.29,0.01239755,0.00578168,-0.003329120808097689,-29.53822,-161756.5155114442,-29.67012,48400982.0,400000000.0,,5.16,-99.84597,2021-11-10T12:21:06.184Z,2.65e-09,299676273.32154,2021-12-14T21:31:35.868Z,2025-07-11T13:51:31.550Z
4tool-ai,4tool,4TOOL.ai,0.0002341,231539,5677,231539,70.2,0.00023559,0.00022315,1.048e-05,4.68875,7482.26,3.33945,989038133.172787,989038133.172787,989428469.94,0.00028824,-18.7815,2025-05-23T09:25:31.675Z,0.00017095,36.94328,2025-06-22T20:19:03.243Z,2025-07-10T22:32:41.972Z
000-capital,000,000 Capital,0.0002171,216138,5749,216138,217.1,0.00021759,0.00020516,1.138e-05,5.53199,11938.54,5.8465,1000000000.0,1000000000.0,1000000000.0,0.00244654,-91.12114,2025-05-26T18:43:42.298Z,0.00015666,38.66317,2025-06-22T14:25:44.863Z,2025-07-11T13:52:55.511Z
4,four,4,4.97e-05,198806,5879,198806,78.28,5.008e-05,4.798e-05,1.33e-06,2.74321,5387.67,2.78551,4000000000.0,4000000000.0,4000000000.0,0.0087092,-99.42934,2024-08-23T18:15:50.904Z,4.331e-05,14.75077,2025-06-23T00:11:55.122Z,2025-07-11T13:52:45.086Z
8chan,8chan,8chan,0.00016702,166279,6113,166279,6279.81,0.00022651,0.00016602,-4.2883631591153e-05,-20.43025,-44538.2456258109,-21.12645,1000000000.0,1000000000.0,1000000000.0,0.00314882,-94.69434,2025-02-21T00:04:52.514Z,0.00016611,0.57343,2025-07-11T13:44:58.225Z,2025-07-11T13:52:53.460Z
717ai-by-virtuals,wire,717ai by Virtuals,0.00016683,157823,6196,160847,2035.94,0.00017077,0.00013919,2.707e-05,19.36617,25705,19.45607,945808710.7300093,963928994.353844,1000000000.0,0.0029766,-94.39407,2025-01-17T18:52:59.407Z,0.0001341,24.43837,2025-07-10T02:09:56.100Z,2025-07-11T13:53:01.733Z
0xshadow,0xs,0xShadow,0.00141144,141310,6327,141310,19229.48,0.00184839,0.00134525,-0.000120261453724268,-7.8515,-11993.055287204887,-7.82311,100000000.0,100000000.0,100000000.0,0.0056694,-75.07497,2025-06-25T18:49:48.526Z,0.00089793,57.37302,2025-06-23T15:29:46.912Z,2025-07-11T13:49:42.330Z
1art,1art,OneArt,0.00043309,136364,6372,202609,167.81,0.00043816,0.00042354,7.54e-06,1.77089,2273.72,1.69567,314863767.9503962,467825324.1275663,1000000000.0,0.758388,-99.94292,2021-10-26T17:34:18.425Z,0.00039797,8.78161,2025-06-22T16:03:50.003Z,2025-07-11T13:51:53.010Z
1intro,chef,CoinChef,0.00042136,121140,6525,421357,3.84,,,,,,,287500000.0,1000000000.0,1000000000.0,0.071028,-99.40677,2024-04-17T19:14:47.669Z,0.00038298,10.02081,2025-06-13T02:43:55.276Z,2025-07-10T06:32:36.163Z
88mph,mph,88mph,0.088322,115521,6600,139390,84934,0.093791,0.078824,0.0060829,7.39665,7926.91,7.36739,1308225.1048674157,1578523.911498463,1888888.0,236.5,-99.96267,2021-02-12T21:31:39.114Z,0.073246,20.55069,2025-07-05T09:12:10.282Z,2025-07-11T13:51:31.735Z
0xgen,xgn,0xGen,0.00026823,114295,6620,268257,79734,0.00026854,0.00026823,-1.37291352428e-07,-0.05116,-31.487941403960576,-0.02754,426066755.0,1000000000.0,1000000000.0,0.02022073,-98.67348,2024-07-22T23:24:40.575Z,5.993e-05,347.55288,2025-04-03T11:02:27.971Z,2025-07-11T13:52:05.436Z
8pay,8pay,8Pay,0.00137523,89015,6988,122242,29.26,0.00138508,0.00132075,4.819e-05,3.63132,3053.31,3.55193,64727636.28359083,88888888.0,88888888.0,2.9,-99.95251,2021-04-05T16:32:04.127Z,0.00119757,14.91931,2025-07-06T12:36:38.663Z,2025-07-11T13:51:03.703Z
1-percent,1%,1%,8.105e-05,80541,7119,80541,812.49,8.121e-05,7.406e-05,6.58e-06,8.8297,5764.51,7.70901,999709437.541366,999709437.541366,999999771.13,0.00181372,-95.52877,2024-10-13T21:34:56.447Z,2.724e-05,197.69003,2025-03-11T00:56:56.442Z,2025-07-11T13:52:50.557Z
aavegotchi-alpha,alpha,Aavegotchi ALPHA,0.000465,68503,7362,2324977,84.53,0.00046838,0.00041571,4.191e-05,9.90504,6585.12,10.63522,147320082.1120677,5000000000.0,5000000000.0,0.33097,-99.85951,2022-05-23T05:02:37.929Z,0.00018345,153.46974,2025-02-03T14:25:54.787Z,2025-07-11T13:50:27.844Z
aadex-finance,ade,AADex Finance,0.02504152,62604,7485,250415,1.84,,,,,,,2500000.0,10000000.0,10000000.0,4.2,-99.40317,2024-08-26T21:58:31.250Z,0.02066608,21.17207,2025-03-11T14:41:14.868Z,2025-07-08T22:43:40.581Z
4gentic,4gs,4GENTIC,5.892e-05,58217,7583,58217,30.1,6.04e-05,5.788e-05,2.02465e-07,0.34484,10708.37,22.53992,988130234.589042,988130234.589042,988130234.5890421,0.00338209,-98.25799,2025-01-02T08:33:46.212Z,3.226e-05,82.60189,2025-04-06T21:02:11.756Z,2025-07-11T13:41:22.165Z
aavegotchi-kek,kek,Aavegotchi KEK,0.00111329,55141,7631,2331106,81.2,0.00112436,0.00099659,9.901e-05,9.76126,5309.54,10.65508,49529211.04408558,2093881550.455375,10000000000.0,1.46,-99.92386,2022-04-01T10:15:07.095Z,0.00051168,117.57684,2025-02-08T13:17:50.540Z,2025-07-11T13:50:26.992Z
10-figs,figs,10 figs,5506.11,55061,7622,55061,773.79,5973.45,5070.97,-439.91393395466457,-7.39846,-4399.139339546651,-7.39846,10.0,10.0,10.0,117193,-95.27062,2024-12-03T04:53:42.312Z,3359.95,64.95782,2025-03-21T16:48:23.061Z,2025-07-11T13:51:46.638Z
3000-token,3000,3000,5.49e-06,54840,7639,54840,510.98,5.57e-06,5.27e-06,1.8688e-08,0.34179,136.54,0.24961,10000000000.0,10000000000.0,10000000000.0,9.12e-06,-39.89342,2025-07-03T15:06:17.013Z,5.25e-06,4.50972,2025-07-09T18:02:51.858Z,2025-07-11T13:51:16.762Z
500m-piece-of-paper,paper,$500M piece of paper,5.316e-05,53398,7674,53398,10638.44,6.479e-05,5.112e-05,-1.1630114589068e-05,-17.95136,-10911.809317875384,-16.96743,999323655.859779,999323655.859779,1000000000.0,0.00075864,-92.95655,2025-06-09T12:14:58.318Z,5.112e-05,4.5343,2025-07-10T14:49:16.011Z,2025-07-11T13:52:11.861Z
69420,69420,69420,8.27958e-07,51749,7726,57477,973.15,8.56027e-07,7.56318e-07,6.8725e-08,9.05196,4295.5,9.05196,62502297000.0,69420000000.0,69420000000.0,2.397e-05,-96.54369,2023-11-11T05:04:45.688Z,1.25344e-07,561.00841,2023-12-29T18:00:11.737Z,2025-07-11T13:49:34.932Z
a51-finance,a51,A51 Finance,0.03033345,49097,7801,113589,1.13,,,,,,,1618582.1065054089,3744676.18031444,4314000.0,0.335432,-90.95691,2024-04-09T00:06:51.955Z,0.02659576,14.05371,2025-04-11T02:14:00.449Z,2025-06-30T05:01:29.765Z
aavegotchi-fomo,fomo,Aavegotchi FOMO,0.00022759,48732,7813,2407387,68.4,0.00022986,0.00020377,2.02e-05,9.7408,4933.37,11.26382,214120043.2446166,10577701296.68805,50000000000.0,0.058677,-99.61213,2022-05-08T19:28:38.610Z,0.00010771,111.29145,2025-02-03T14:26:59.675Z,2025-07-11T13:50:27.099Z
a3s,aa,A3S,0.00019458,48222,7838,58359,2564922,0.00024861,0.00018879,1.47e-06,0.76058,363.54,0.75963,247826062.5232677,299926062.5232677,1000000000.0,2.06,-99.99065,2023-12-22T12:20:30.070Z,7.604e-05,153.29236,2025-06-25T03:29:31.303Z,2025-07-11T13:51:26.291Z
aavegotchi-fud,fud,Aavegotchi FUD,9.329e-05,48220,7825,1963731,100.31,9.42e-05,8.295e-05,7.6e-06,8.86808,4496.45,10.28391,516881684.2490008,21049861355.2873,100000000000.0,0.03223037,-99.71055,2022-05-17T03:44:44.563Z,4.206e-05,121.78161,2025-02-03T14:25:55.862Z,2025-07-11T13:50:27.007Z
2077-code,2077,2077 CODE,5.925e-05,37719,8161,37719,37.32,5.943e-05,5.809e-05,2.58091e-07,0.43753,2461.87,6.98272,636640550.3,636640550.3,636640550.3,0.0074243,-99.202,2025-01-11T16:08:12.680Z,4.577e-05,29.44529,2025-06-22T20:24:43.962Z,2025-07-11T13:11:46.258Z
39a-fun,39a,39a.fun,3.754e-05,36766,8195,37359,806.12,3.811e-05,3.512e-05,2.1e-06,5.91728,1857.79,5.32189,983852416.377738,999708241.683506,1000000000.0,0.00222246,-98.31973,2025-03-07T09:38:26.471Z,2.462e-05,51.69326,2025-06-23T03:52:02.601Z,2025-07-11T13:53:07.841Z
a16z-ai-dog,tilly,a16z AI Dog,3.603e-05,35986,8219,35986,241.65,3.675e-05,3.403e-05,7.40458e-07,2.0983,841.69,2.39495,998816645.316688,998816645.316688,999868434.0,0.00202776,-98.21148,2024-11-14T23:32:45.645Z,1.2e-05,202.32595,2025-04-09T01:13:27.822Z,2025-07-11T13:50:35.160Z
0-knowledge-network,0kn,0 Knowledge Network,4.17e-06,33345,8327,41741,8.47,,,,,,,7988560000.0,10000000000.0,10000000000.0,0.00319787,-99.86947,2024-01-14T12:44:51.233Z,2.43e-06,71.78119,2025-04-09T11:45:57.691Z,2025-07-05T15:59:45.894Z
4547-token,4547,4547,2.982e-05,29823,8491,29823,2283.2,3.326e-05,2.907e-05,-2.227714033993e-06,-6.95051,-2134.8499532901114,-6.68016,999995318.05,999995318.05,999995318.05,0.00074954,-96.02391,2024-11-05T18:05:10.935Z,7.49e-06,297.79152,2025-04-07T07:01:43.208Z,2025-07-11T13:50:13.093Z
8008-token,8008,8008,2.834e-05,28505,8553,28505,198.76,2.915e-05,2.71e-05,1.08e-06,3.97637,1190.28,4.35771,999241259.834171,999241259.834171,1000000000.0,0.00196865,-98.55097,2025-01-12T20:58:07.162Z,1.905e-05,49.70926,2025-04-10T21:54:26.536Z,2025-07-11T13:51:52.432Z
47th-potus,trump47,47th POTUS,2.664e-05,26643,8644,26643,1.83,,,,,,,1000000000.0,1000000000.0,1000000000.0,0.00824892,-99.67701,2024-10-28T19:20:57.853Z,1.381e-05,92.89253,2025-04-16T08:16:09.867Z,2025-07-10T12:13:49.571Z
aagent-ai,aai,Aagent.ai,8.079e-05,24302,8755,71810,343.67,8.951e-05,7.302e-05,7.76e-06,10.62854,2334.77,10.62854,300815920.63612074,888888888.0,888888888.0,0.00180027,-95.51267,2025-06-15T14:05:57.758Z,4.801e-05,68.26262,2025-06-27T16:49:45.135Z,2025-07-11T13:50:18.388Z
1-dollar-sol-coin,$1,$1,2.408e-05,24074,8758,24074,59.46,2.436e-05,2.291e-05,9.65088e-07,4.1755,964.93,4.1755,999835232.464866,999835232.464866,1000000000.0,0.00094561,-97.43685,2024-11-28T07:26:30.971Z,1.742e-05,39.15361,2025-04-07T06:58:22.476Z,2025-07-11T13:50:35.262Z
2dai-io,2dai,2DAI.io,2.398e-05,23983,8775,23983,1.37,2.453e-05,2.284e-05,1.15e-06,5.01595,1145.52,5.01595,1000000000.0,1000000000.0,1000000000.0,0.00727161,-99.67018,2024-02-23T05:22:02.158Z,1.664e-05,44.13491,2025-06-20T23:56:13.725Z,2025-07-11T00:25:33.110Z
888coin,發發發,888Coin,2.546e-05,22562,8864,22562,16016.84,2.936e-05,1.753e-05,6.11e-06,31.5397,6343.27,39.11174,884730254.94,884730254.94,884730254.94,0.00032946,-92.25968,2025-07-05T10:05:00.481Z,1.603e-05,59.09496,2025-07-10T04:34:15.725Z,2025-07-11T13:52:01.444Z
aaai_agent-by-virtuals,aaai,AAAI_agent by Virtuals,2.146e-05,21462,8913,21462,8.11,,,,,,,1000000000.0,1000000000.0,1000000000.0,0.00065653,-96.73104,2025-01-17T19:23:36.853Z,6.28e-06,241.50892,2025-04-09T01:29:17.948Z,2025-07-01T21:10:18.906Z
42069coin,42069coin,42069COIN,2.012e-05,20217,8988,20217,1356.31,2.221e-05,1.961e-05,2.26801e-07,1.14036,332.96,1.67448,999778115.458327,999778115.458327,1000000000.0,0.00031376,-93.55502,2025-04-23T10:55:36.930Z,1.612e-05,25.4704,2025-07-01T20:09:14.040Z,2025-07-11T13:52:05.916Z
9to5io,9to5,9to5io,1.957e-05,19676.53,9026,19676.53,26.56,1.984e-05,1.864e-05,7.68653e-07,4.08724,928.71,4.95372,998596015.0,998596015.0,998596015.0,0.00032584,-93.94293,2024-05-14T18:44:09.622Z,1.094e-05,80.48364,2024-09-06T21:01:46.999Z,2025-07-11T13:51:44.019Z
4trump,4win,4TRUMP,0.00037136,17471.36,9183,17471.36,5.06,,,,,,,47046988.161103,47046988.161103,47051124.0,0.14474,-99.74343,2024-09-15T01:49:27.961Z,0.00023574,57.52684,2025-04-07T06:57:29.700Z,2025-06-30T23:31:24.643Z
a16gems,a16g,a16gems,1.707e-05,17062.82,9218,17062.82,635.9,1.749e-05,1.593e-05,1.07e-06,6.69494,1105.67,6.92897,999708365.42498,999708365.42498,999750770.0,0.00311251,-99.44802,2025-01-26T22:54:35.887Z,9.41e-06,82.50556,2025-04-07T06:58:25.703Z,2025-07-11T13:50:37.922Z
2025-token,2025,2025 TOKEN,1.62e-05,16171.98,9296,16171.98,3.26,1.625e-05,1.527e-05,7.47013e-07,4.83564,814.36,5.30265,998574149.532519,998574149.532519,1000000000.0,0.00105418,-98.46372,2024-12-29T12:13:13.519Z,1.009e-05,60.47051,2025-04-07T06:57:33.852Z,2025-07-11T13:31:32.082Z
4-2-aminoethyl-benzene-1-2-diol,dopamine,"4-(2-Aminoethyl)benzene-1,2-diol",1.601e-05,15996.57,9312,15996.57,129.05,1.624e-05,1.588e-05,2.8871e-08,0.18071,28.85,0.18071,999421036.865488,999421036.865488,1000000000.0,0.00101543,-98.42373,2024-11-20T15:06:28.000Z,1.06e-05,51.03219,2025-04-07T06:57:32.274Z,2025-07-11T09:06:49.989Z
1hub-ai,1hub,1Hub.ai,3.35e-05,14595.48,9429,33497,44.05,3.356e-05,3.302e-05,3.2264e-08,0.0964,483.95,3.42945,435659891.0159436,999857793.3424022,1000000000.0,0.00410902,-99.18365,2025-01-12T18:56:58.364Z,3.093e-05,8.44165,2025-07-07T22:35:24.417Z,2025-07-11T13:50:22.817Z
23-turtles,ai23t,23 Turtles,1.415e-05,14149.4,9464,14149.4,1.41,1.421e-05,1.341e-05,5.18869e-07,3.80616,582.14,4.29076,999871482.904298,999871482.904298,1000000000.0,0.00587406,-99.75909,2025-02-14T19:21:04.369Z,1.264e-05,11.93696,2025-07-06T11:09:51.337Z,2025-07-11T13:31:32.131Z
-8,🔶,🔶,1.242e-05,12422.3,9627,12422.3,3436.72,1.321e-05,1.218e-05,-6.56379219683e-07,-5.0187,-621.1156208360298,-4.76191,1000000000.0,1000000000.0,1000000000.0,0.00039656,-96.86748,2025-04-03T15:55:47.329Z,9.5e-06,30.77958,2025-06-22T20:30:13.196Z,2025-07-11T05:18:01.796Z
-3,meow,Meow Meow Coin,2.8011e-08,11784.04,9680,11784.04,0.095487,2.8012e-08,2.8011e-08,-1.84517e-13,-0.00066,1.084,0.0092,420690000000.0,420690000000.0,420690000000.0,2.77e-06,-98.98794,2024-04-23T21:07:53.809Z,6.995e-09,300.43269,2025-02-20T22:51:32.141Z,2025-07-10T23:01:31.034Z
1984-token,1984,1984,1.127e-05,9299.3,9911,9581.1,10.21,,,,,,,825000000.0,850000000.0,1000000000.0,0.0005744,-98.03764,2024-11-21T12:09:48.425Z,9.09e-06,24.05891,2025-04-10T15:53:57.231Z,2025-07-07T21:25:22.740Z
0xprivacy,0xp,0xPrivacy,6.526e-05,7831.46,10073,7831.46,38.51,,,,,,,120000000.0,120000000.0,120000000.0,0.00394401,-98.34529,2024-10-19T08:10:13.218Z,4.606e-05,41.69895,2025-04-22T00:55:41.438Z,2025-06-22T11:43:26.576Z
1ex,1ex,1ex,7.99999e-07,377.96,10635,800.0,76.52,,,,,,,472455033.9140488,1000000000.0,1000000000.0,0.349013,-99.99977,2024-03-28T13:51:57.727Z,7.99979e-07,0.00256,2025-07-08T07:05:07.428Z,2025-07-08T15:01:23.700Z
0xcoco,coco,0xCoco,0.00033911,0.0,,33911,561.09,,,,,,,0.0,100000000.0,,0.139651,-99.75717,2023-07-29T13:42:16.289Z,7.474e-05,353.70392,2025-03-09T21:54:33.384Z,2025-06-23T03:30:35.827Z
0xlp,openli,OpenLiquidity,8.51e-05,0.0,,17020.35,39.82,,,,,,,0.0,200000000.0,200000000.0,0.00338761,-97.48785,2024-07-19T16:51:51.825Z,6.081e-05,39.95343,2025-04-23T16:25:17.144Z,2025-06-18T15:03:42.718Z
